North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Peshawar_1_1_W,P-P Link,Peshawar,PSH0319,33.97515,71.56509,M2B-ISB-MSC5-HRT-01,GigabitEthernet2/0/0,M2B-PSH-MGW-HRT-01,GigabitEthernet2/0/0,10 G,1,1,10G,Working,Islamabad-Taxilla-Kamra-Nowshera-Mardan-Charsada-Peshawar 
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_LahoreA_1_1_W,P-P Link,Lahore,LHR8994,31.456142,74.326006,M2B-ISB-MSC5-HRT-01,100GE13/0/2,M2B-LHR-FRF-HRT-01,100GE8/0/0,100 G,4,4,100G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhupura-FRF
P: Islamabad-GujarKhan-Jehlum-Gujrat-Silakot-Gujranwala-Mureedkay-FRF"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_LahoreA_1_1_P,P-P Link,Lahore,LHR8994,31.456142,74.326006,M2B-ISB-MSC5-HRT-01,100GE13/0/2,M2B-LHR-FRF-HRT-01,100GE8/0/0,100 G,4,4,100G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhupura-FRF
P: Islamabad-GujarKhan-Jehlum-Gujrat-Silakot-Gujranwala-Mureedkay-FRF"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Faisalabad_1_1_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-ISB-MSC5-HRT-01,GigabitEthernet4/0/1,M2B-FSD-ZT2-HRT-01,GigabitEthernet15/0/10,30 G,2,2,10G,Working,Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Faisalabad
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Faisalabad_1_2_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/1/2  ,M2B-FSD-ZT2-HRT-01,GigabitEthernet9/0/10,30 G,2,2,10G,Working,Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Faisalabad
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Faisalabad_1_3_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/0/2,M2B-FSD-ZT2-HRT-01,GigabitEthernet8/0/1,30 G,2,2,10G,Working,Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Faisalabad
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_1_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/0/3,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/3,30 G,3,3,10G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_1_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/0/3,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/3,30 G,3,3,10G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_2_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/1/4,M2B-KHI-BRQ2-HRT-01,GigabitEthernet8/0/2,30 G,3,3,10G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_2_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/1/4,M2B-KHI-BRQ2-HRT-01,GigabitEthernet8/0/2,30 G,3,3,10G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
